Time(s), Pressure(PSI)
0,16.4125
1.0,16.4515
2.0,16.3987
3.0,16.383
4.0,16.3831
5.0,16.3914
6.0,16.3448
7.0,16.3185
8.0,16.2764
9.0,16.2722
10.0,16.2419
11.0,16.1853
12.0,16.1851
13.0,16.179
14.0,16.1592
15.0,16.1241
16.0,16.0844
17.0,16.0896
18.0,16.0845
19.0,16.0251
20.0,16.0243
21.0,16.0358
22.0,15.9354
23.0,16.0083
24.0,15.9679
25.0,15.9905
26.0,15.9537
27.0,15.929
28.0,15.9054
29.0,15.8475
30.0,15.8785
31.0,15.8718
32.0,15.8266
33.0,15.8054
34.0,15.8008
35.0,15.8012
36.0,15.7913
37.0,15.7638
38.0,15.7397
39.0,15.7531
40.0,15.7341
41.0,15.697
42.0,15.6958
43.0,15.6647
44.0,15.6514
45.0,15.6555
46.0,15.6262
47.0,15.5667
48.0,15.607
49.0,15.5832
50.0,15.5466
51.0,15.5323
52.0,15.5171
53.0,15.5159
54.0,15.5194
55.0,15.5232
56.0,15.4974
57.0,15.4762
58.0,15.4334
59.0,15.4578
60.0,15.4304
61.0,15.4335
62.0,15.3324
63.0,15.4234
64.0,15.3993
65.0,15.3627
66.0,15.356
67.0,15.3745
68.0,15.3231
69.0,15.3028
70.0,15.3351
71.0,15.3104
72.0,15.2902
73.0,15.309
74.0,15.2455
75.0,15.2465
76.0,15.2449
77.0,15.2254
78.0,15.2064
79.0,15.1875
80.0,15.2249
81.0,15.2157
82.0,15.2558
83.0,15.1972
84.0,15.19
85.0,15.2021
86.0,15.1842
87.0,15.1397
88.0,15.1449
89.0,15.132
90.0,15.1371
91.0,15.1171
92.0,15.146
93.0,15.1094
94.0,15.1033
95.0,15.1175
96.0,15.0828
97.0,15.1274
98.0,15.0494
99.0,15.0489
100.0,15.0308
101.0,15.0258
102.0,15.0218
103.0,15.0425
104.0,15.0353
105.0,14.998
106.0,14.9955
107.0,14.9777
108.0,14.9636
109.0,14.9397
110.0,14.9849
111.0,14.9758
112.0,14.8893
113.0,14.9484
114.0,14.906
115.0,14.9308
116.0,14.9655
117.0,14.9049
118.0,14.9011
119.0,14.8792
120.0,14.9035
121.0,14.8565
122.0,14.8579
123.0,14.8807
124.0,14.8261
125.0,14.8297
126.0,14.8289
127.0,14.835
128.0,14.8212
129.0,14.7987
130.0,14.7729
131.0,14.8146
132.0,14.818
133.0,14.8095
134.0,14.8235
135.0,14.7792
136.0,14.7836
137.0,14.7797
138.0,14.7961
139.0,14.7569
140.0,14.789
141.0,14.7729
142.0,14.717
143.0,14.7656
144.0,14.721
145.0,14.6899
146.0,14.7527
147.0,14.7386
148.0,14.7084
149.0,14.7115
150.0,14.6986
151.0,14.6834
152.0,14.684
153.0,14.6846
154.0,14.5752
155.0,14.6548
156.0,14.6735
157.0,14.6306
158.0,14.7137
159.0,14.6923
160.0,14.6194
161.0,14.6731
162.0,14.6369
163.0,14.5803
164.0,14.6188
165.0,14.6376
166.0,14.6121
167.0,14.637
168.0,14.6194
169.0,14.5615
170.0,14.6339
171.0,14.6092
172.0,14.5813
173.0,14.6032
174.0,14.6219
175.0,14.5969
176.0,14.6266
177.0,14.6099
178.0,14.5707
179.0,14.5921
180.0,14.6294
181.0,14.5622
182.0,14.5769
183.0,14.5707
184.0,14.5256
185.0,14.6029
186.0,14.5681
187.0,14.5267
188.0,14.5391
189.0,14.5178
